DATE,Real Output Per Person,Employment,Implicit Price Deflator,Labor Share,Unit Labor Costs,Unit Nonlabor Payments
1/1/1948,8.5,1.4,7.7,-1.2,6.5,10.1
4/1/1948,10.7,1.3,7.1,-3.8,3,15
7/1/1948,-3.5,1.5,6.3,-2.5,3.7,11.3
10/1/1948,0.7,0.3,3.7,-0.8,2.9,5.2
1/1/1949,-2.9,-0.4,1.9,0.2,2.1,1.5
4/1/1949,2.4,-1,-0.1,1.8,1.6,-3.2
7/1/1949,9.1,-3.2,-2.5,-0.5,-3,-1.6
10/1/1949,0.8,-4.2,-3,-0.8,-3.8,-1.5
1/1/1950,21.3,-3.4,-2.2,-0.9,-3.1,-0.6
4/1/1950,4.6,-0.1,-0.5,-1.1,-1.7,1.5
7/1/1950,8.5,3,2.2,-2.2,-0.1,6.3
10/1/1950,3.1,4.6,4.8,-4,0.6,12.6
1/1/1951,1.4,5.4,8.9,-3.4,5.1,15.6
4/1/1951,2,3.6,9.5,-1.7,7.6,12.7
7/1/1951,9.3,0.8,7,-0.9,6,8.7
10/1/1951,-1.6,0.9,5.8,0.5,6.3,4.9
1/1/1952,3,0.5,1.6,1.3,2.9,-0.5
4/1/1952,1.9,-0.7,0.7,0.9,1.6,-0.9
7/1/1952,1.1,0.2,1.8,2.6,4.4,-2.5
10/1/1952,8.2,1.8,0.8,2.7,3.5,-3.6
1/1/1953,7.2,2,1,2.3,3.4,-2.9
4/1/1953,2.9,2.7,1.1,1.3,2.4,-1.1
7/1/1953,-3.2,2.3,0.5,2,2.5,-3
10/1/1953,-1.9,-1.2,0.5,1.4,2,-2
1/1/1954,0.1,-2.2,1,1.5,2.5,-1.8
4/1/1954,4,-3.1,0.7,1.8,2.5,-2.6
7/1/1954,5,-3.1,0.2,-0.6,-0.4,1.2
10/1/1954,8,-1.5,0.2,-0.8,-0.6,1.7
1/1/1955,9.4,0.3,0.5,-3.7,-3.2,7.4
4/1/1955,3.2,2.5,0.7,-3.7,-3,7.7
7/1/1955,-0.4,4,1.5,-2.4,-1,5.9
10/1/1955,-2,4.8,2.4,-1.8,0.5,5.7
1/1/1956,-3.2,3.9,2.9,2.7,5.6,-1.8
4/1/1956,1.4,3.2,3.3,3.4,6.8,-2.7
7/1/1956,0.2,1.2,3.9,3.1,7.1,-1.6
10/1/1956,8.1,0.1,3.1,2.5,5.7,-1.3
1/1/1957,2.3,-0.1,3.6,0.4,4,2.8
4/1/1957,-3.7,-0.1,3.8,-0.2,3.6,4.2
7/1/1957,4.4,0.2,3,-0.6,2.4,4
10/1/1957,-0.6,-0.9,2.5,0.4,2.9,1.7
1/1/1958,-4.1,-3.2,2,1,3,0.2
4/1/1958,8.4,-5.1,1.4,-0.5,0.9,2.4
7/1/1958,8.2,-4.4,1.5,0.4,1.9,0.9
10/1/1958,7.5,-2.4,2.2,-1.9,0.3,5.8
1/1/1959,4.4,1.2,1.3,-1.7,-0.5,4.6
4/1/1959,2.5,4.8,1.3,-1,0.3,3.1
7/1/1959,1.7,3.6,1,-1,-0.1,2.9
