DATE,nph,nation,unemployrate,lfp,ahe_all,ahe_cons
2007/1/1,3536,114.1,6.5,63.1,18.77,18.21
2007/2/1,3242,112.1,6.1,62.9,19.12,18.24
2007/3/1,3732,139.4,5.3,62.9,18.77,18.14
2007/4/1,3956,130.9,5.2,63,19.01,17.46
2007/5/1,4835,146,5.1,63.2,18.82,17.72
2007/6/1,3224,135.6,5.9,64.1,18.63,17.77
2007/7/1,2996,122.5,5.8,63.9,18.65,17.95
2007/8/1,2911,126,5.7,63.2,18.38,17.44
2007/9/1,2523,100.5,5.6,62.8,18.77,17.64
2007/10/1,2223,103.8,5.6,62.6,18.59,17.97
2007/11/1,2535,89.5,5.4,62.3,18.62,18.48
2007/12/1,2592,77.8,5.8,62.1,19.03,19.3
2008/1/1,2492,77.4,6,61.9,19,18.17
2008/2/1,2081,75,5.7,61.7,19.04,19.24
2008/3/1,2487,79.1,5.4,61.9,19.42,18.65
2008/4/1,2993,91.5,5.2,62,18.54,18.86
2008/5/1,2471,92.3,5.8,62.5,18.37,19.05
2008/6/1,2602,110.6,6.6,63.2,18.36,18.86
2008/7/1,2972,85.9,6.9,63.1,18.62,19.53
2008/8/1,1922,76.3,7.5,62.8,18.6,19.75
2008/9/1,1812,70.9,7.5,62.3,18.74,19.13
2008/10/1,1600,63.7,7.8,62.3,18.7,20.24
2008/11/1,959,41.5,8,61.8,19,19.69
2008/12/1,882,41.2,9.1,61.8,19.25,21.35
2009/1/1,1190,37.6,10.6,61.8,19.16,20.98
2009/2/1,1133,39.2,11,61.9,19.33,20.15
2009/3/1,1259,45.4,10.9,61.8,18.75,20.24
2009/4/1,1307,47.8,10.7,62,18.74,20.35
2009/5/1,1179,49.5,11.1,62.2,18.7,21.42
2009/6/1,1606,61.3,11.9,62.9,18.68,21.46
2009/7/1,1389,56.1,11.6,62.6,18.79,21.29
2009/8/1,1594,54,11.5,61.9,19.41,21.2
2009/9/1,1382,52.9,11.5,61.2,19.7,21.18
2009/10/1,1460,47.9,11.5,61.1,19.41,21.19
2009/11/1,1146,42.1,11.3,60.6,19.72,21.56
2009/12/1,1198,49.2,11.5,60.2,19.77,21.39
2010/1/1,1104,40.4,12.4,60.6,19.98,21.25
2010/2/1,1363,45.3,12.1,60.6,20.11,22.11
2010/3/1,1947,64.1,11.5,60.8,19.63,21.37
2010/4/1,1430,58.9,10.9,60.5,19.56,21.24
2010/5/1,1250,51.1,10.7,60.7,19.65,20.97
2010/6/1,1279,59.2,11.2,61.1,19.44,20.52
2010/7/1,1192,51.6,11,61.1,19.56,20.34
2010/8/1,1181,53.7,11.2,60.9,19.81,20.19
2010/9/1,998,48.5,10.7,60.2,20.03,20.49
2010/10/1,1060,43.5,10.5,59.9,20.19,20.41
2010/11/1,924,40.9,10.9,59.8,20.25,20.79
2010/12/1,886,47.6,10.8,59.6,20.54,21.12
2011/1/1,915,36.3,11.3,59.6,21,21.77
2011/2/1,1122,37.7,11,59.7,20.8,21.25
2011/3/1,1532,54.4,10.3,59.8,20.9,21.58
2011/4/1,1490,50.7,10,60.2,20.9,21.65
2011/5/1,1316,57.3,10.3,60.6,20.71,21.36
2011/6/1,1326,63.8,11.1,61.3,20.44,21.06
2011/7/1,1229,52.6,10.8,61.1,20.54,21.01
2011/8/1,1331,62.6,11,60.9,20.25,21.07
2011/9/1,1078,53.2,10.7,60.4,20.53,21.43
2011/10/1,1623,52,10.3,60.2,20.37,21.44
2011/11/1,1095,51.9,10,59.7,20.28,21.37
2011/12/1,1520,51.6,9.9,59.5,20.29,21.41
2012/1/1,1341,47.8,10.2,59.4,20.42,20.97
2012/2/1,1458,53.5,10,59.6,20.32,20.94
2012/3/1,1618,69.5,9.3,59.7,20.17,20.57
2012/4/1,1449,64.1,8.8,59.7,19.96,20.41
2012/5/1,2332,77.7,9.2,60.3,19.79,20.05
2012/6/1,1704,75.9,9.8,60.9,19.78,20.25
2012/7/1,1468,74.1,9.8,60.8,19.94,20.4
2012/8/1,1561,80,9.5,60.2,19.92,20.23
2012/9/1,1582,73.7,8.6,59.5,20.22,20.27
2012/10/1,1638,77.5,8.6,59.7,20.09,20.36
2012/11/1,1548,68.7,8.2,59.2,20.17,20.57
2012/12/1,1385,67.2,8.6,59.2,20.37,20.16
2013/1/1,1705,65.5,9.1,59,20.27,19.9
2013/2/1,1612,67.8,8.6,58.9,20.57,20.38
2013/3/1,1890,77.7,7.7,58.8,20.72,20.76
2013/4/1,1855,92.8,7.4,59.1,20.23,20.22
2013/5/1,2342,97.2,7.6,59.6,20.15,19.99
2013/6/1,2063,85.7,8.3,60.3,20.34,20.11
2013/7/1,2018,90.2,7.9,60,20.26,19.81
2013/8/1,1814,87.1,7.7,59.5,20.4,19.9
2013/9/1,2418,83.1,7.3,59.1,20.64,19.99
2013/10/1,2197,92.5,7.1,58.9,20.69,19.91
2013/11/1,1770,73.5,6.6,58.5,20.92,19.86
2013/12/1,1686,77.8,6.3,58.2,21.05,20.2
2014/1/1,2210,68.6,6.7,58.2,21.06,20.14
2014/2/1,2486,72.3,6.5,58.3,21.73,21.09
2014/3/1,2241,86.3,6.1,58.7,21.19,20.38
2014/4/1,2376,99.1,5.2,58.5,20.8,19.98
2014/5/1,2188,93.8,5.9,59.2,20.68,20.1
2014/6/1,2129,95.7,6.6,60,20.78,20.4
2014/7/1,2352,97.1,7.1,60.1,20.64,20.55
2014/8/1,2151,90.3,7.2,59.7,20.76,20.72
2014/9/1,2524,92.7,6.7,59.3,21.01,20.95
2014/10/1,2606,98.4,6.5,59.5,21.07,20.97
2014/11/1,1634,72.8,6.5,59.3,21.47,20.9
2014/12/1,2300,85,6.4,59,21.39,20.74
2015/1/1,1899,71,7,59.1,21.7,20.54
2015/2/1,2536,78.6,6.5,59,21.36,20.58
2015/3/1,2379,92.5,6,59.1,21.75,20.81
2015/4/1,3399,106,5.5,59.3,21.22,20.62
2015/5/1,2960,111.9,6,59.9,21.03,20.41
2015/6/1,2530,134.8,6.3,60.3,20.99,20.55
2015/7/1,2869,103.2,6.2,60.1,21.26,20.74
2015/8/1,2494,98.4,6,59.6,21.29,20.92
2015/9/1,3084,98.3,5.6,59.1,21.5,21.05
2015/10/1,2264,99.3,5.7,59.3,21.53,21.28
2015/11/1,1880,91,5.4,58.9,21.8,21.39
2015/12/1,2143,97.5,5.5,58.9,21.67,21.65
2016/1/1,1947,76.2,5.8,58.7,21.87,21.68
2016/2/1,2116,86.3,5.4,58.8,21.79,21.72
2016/3/1,2751,99.8,5.2,59.1,22.17,22.15
2016/4/1,2783,101.9,4.6,59,21.93,21.79
2016/5/1,2957,110.3,4.6,59.2,21.87,21.76
2016/6/1,3093,117.6,5.4,59.8,22.07,21.98
2016/7/1,2830,97.9,5.3,59.7,21.93,22.6
2016/8/1,3028,111.6,5.3,59.2,21.95,22.57
2016/9/1,2759,111.7,4.9,58.9,22.24,23.08
2016/10/1,2223,104,4.8,58.7,22.53,23.16
2016/11/1,2452,94.5,4.4,58.3,22.49,22.98
2016/12/1,2223,94.8,4.6,58.2,22.46,22.76
2017/1/1,2633,90.6,5.1,58.2,23.09,22.97
2017/2/1,2682,86.9,4.7,58.3,22.74,22.65
2017/3/1,2975,115.3,4.1,58.4,23.13,23.15
2017/4/1,2477,105,3.6,58.4,22.8,22.75
2017/5/1,3086,115.3,3.8,58.6,22.44,22.34
2017/6/1,3110,130.8,4.4,59.2,22.44,22.6
2017/7/1,3162,102.9,4.6,59.2,22.87,22.97
2017/8/1,3184,122.1,4.8,58.8,22.68,23.14
2017/9/1,2641,103.3,4.1,58.4,23.12,23.34
2017/10/1,2867,116.3,4.1,58.2,23.16,23.09
2017/11/1,2595,98.8,4,57.9,23.08,23.08
2017/12/1,2382,94.8,4.1,57.7,23.21,23.94
2018/1/1,2811,98.4,4.4,57.9,23.89,23.87
2018/2/1,2608,93.4,4,58.1,23.85,24.31
2018/3/1,3337,119.4,3.4,58,23.86,24.65
2018/4/1,3219,121.5,2.7,57.8,23.99,24.32
2018/5/1,3072,126.9,2.8,58.1,23.61,24.62
2018/6/1,3438,123.3,3.7,58.9,23.46,24.41
2018/7/1,3021,114.5,3.6,58.8,23.72,24.45
2018/8/1,3612,118.2,3.7,58.1,23.54,24.79
2018/9/1,2620,100.4,3.2,57.7,24.64,25.13
2018/10/1,2856,113.9,3.2,57.9,24.14,25.59
2018/11/1,2718,102.3,3,57.6,24.37,25.35
2018/12/1,2843,96.6,3.3,57.6,24.51,25.54
2019/1/1,3483,94.4,3.6,57.7,24.29,25.39
2019/2/1,2815,89.7,3.3,58.1,24.49,25.7
2019/3/1,2734,105.7,3.3,58.5,24.29,25.77
2019/4/1,3114,118.7,3,58.6,24.42,25.78
2019/5/1,3617,124.3,3.3,58.9,24.22,25.41
2019/6/1,2774,111,3.6,59.4,24.55,25.99
2019/7/1,3091,118.8,3.2,59.4,24.51,25.93
2019/8/1,3187,127.8,2.9,58.8,24.7,25.91
