I,date,IXIC.Close,BAM
1,1/4/2010,2308.419922,6.34
2,1/5/2010,2308.709961,6.3
3,1/6/2010,2301.090088,6.17
4,1/7/2010,2300.050049,6.03
5,1/8/2010,2317.169922,6.02
6,1/11/2010,2312.409912,5.99
7,1/12/2010,2282.310059,6.07
8,1/13/2010,2307.899902,6.03
9,1/14/2010,2316.73999,6.04
10,1/15/2010,2287.98999,6.1
11,1/19/2010,2320.399902,6.11
12,1/20/2010,2291.25,6.16
13,1/21/2010,2265.699951,6.24
14,1/22/2010,2205.290039,6.36
15,1/25/2010,2210.800049,6.42
16,1/26/2010,2203.72998,6.44
17,1/27/2010,2221.409912,6.41
18,1/28/2010,2179,6.41
19,1/29/2010,2147.350098,6.46
20,2/1/2010,2171.199951,6.54
21,2/2/2010,2190.060059,6.54
22,2/3/2010,2190.909912,6.46
23,2/4/2010,2125.429932,6.59
24,2/5/2010,2141.120117,6.81
25,2/8/2010,2126.050049,6.85
26,2/9/2010,2150.870117,6.88
27,2/10/2010,2147.870117,6.93
28,2/11/2010,2177.409912,6.98
29,2/12/2010,2183.530029,7.03
30,2/16/2010,2214.189941,7.02
31,2/17/2010,2226.290039,6.8
32,2/18/2010,2241.709961,6.65
33,2/19/2010,2243.870117,6.56
34,2/22/2010,2242.030029,6.5
35,2/23/2010,2213.439941,6.6
36,2/24/2010,2235.899902,6.58
37,2/25/2010,2234.219971,6.65
38,2/26/2010,2238.26001,6.66
39,3/1/2010,2273.570068,6.66
40,3/2/2010,2280.790039,6.58
41,3/3/2010,2280.679932,6.54
42,3/4/2010,2292.310059,6.49
43,3/5/2010,2326.350098,6.37
44,3/8/2010,2332.209961,6.27
45,3/9/2010,2340.679932,6.23
46,3/10/2010,2358.949951,6.16
47,3/11/2010,2368.459961,6.15
48,3/12/2010,2367.659912,6.11
49,3/15/2010,2362.209961,6.12
50,3/16/2010,2378.01001,6.16
51,3/17/2010,2389.090088,6.11
52,3/18/2010,2391.280029,6.02
53,3/19/2010,2374.409912,5.98
54,3/22/2010,2395.399902,6.02
55,3/23/2010,2415.23999,6
56,3/24/2010,2398.76001,5.85
57,3/25/2010,2397.409912,5.78
58,3/26/2010,2395.129883,5.8
59,3/29/2010,2404.360107,5.79
60,3/30/2010,2410.689941,5.77
61,3/31/2010,2397.959961,5.84
62,4/1/2010,2402.580078,5.82
63,4/5/2010,2429.530029,5.65
64,4/6/2010,2436.810059,5.65
65,4/7/2010,2431.159912,5.72
66,4/8/2010,2436.810059,5.7
67,4/9/2010,2454.050049,5.68
68,4/12/2010,2457.870117,5.68
69,4/13/2010,2465.98999,5.66
70,4/14/2010,2504.860107,5.57
71,4/15/2010,2515.689941,5.52
72,4/16/2010,2481.26001,5.57
73,4/19/2010,2480.110107,5.59
74,4/20/2010,2500.310059,5.54
75,4/21/2010,2504.610107,5.55
